epoch,lr-AdamW,step,train_loss_epoch,train_loss_step,val_loss
,0.0001,9,,,
0,,9,,1.1162774562835693,
,0.0001,19,,,
0,,19,,1.1039098501205444,
,0.0001,29,,,
0,,29,,1.096842646598816,
,0.0001,39,,,
0,,39,,1.111412763595581,
,0.0001,49,,,
0,,49,,1.0823277235031128,
,0.0001,59,,,
0,,59,,1.093780279159546,
,0.0001,69,,,
0,,69,,1.0800895690917969,
,0.0001,79,,,
0,,79,,1.1165730953216553,
,0.0001,89,,,
0,,89,,1.1098333597183228,
,0.0001,99,,,
0,,99,,1.0894948244094849,
,0.0001,109,,,
0,,109,,1.0792523622512817,
,0.0001,119,,,
0,,119,,1.0902377367019653,
,0.0001,129,,,
0,,129,,1.0772387981414795,
,0.0001,139,,,
0,,139,,1.075956106185913,
,0.0001,149,,,
0,,149,,1.1032557487487793,
,0.0001,159,,,
0,,159,,1.0805745124816895,
,0.0001,169,,,
0,,169,,1.067489504814148,
,0.0001,179,,,
0,,179,,1.0782750844955444,
,0.0001,189,,,
0,,189,,1.0875378847122192,
,0.0001,199,,,
0,,199,,1.087766170501709,
,0.0001,209,,,
0,,209,,1.074692964553833,
,0.0001,219,,,
0,,219,,1.0753039121627808,
,0.0001,229,,,
0,,229,,1.074769139289856,
,0.0001,239,,,
0,,239,,1.0805660486221313,
,0.0001,249,,,
0,,249,,1.0846147537231445,
,0.0001,259,,,
0,,259,,1.0748370885849,
,0.0001,269,,,
0,,269,,1.0813255310058594,
,0.0001,279,,,
0,,279,,1.0688791275024414,
,0.0001,289,,,
0,,289,,1.0630133152008057,
,0.0001,299,,,
0,,299,,1.06166410446167,
,0.0001,309,,,
0,,309,,1.0719975233078003,
,0.0001,319,,,
0,,319,,1.0882354974746704,
,0.0001,329,,,
0,,329,,1.073886752128601,
,0.0001,339,,,
0,,339,,1.0730093717575073,
,0.0001,349,,,
0,,349,,1.0793747901916504,
,0.0001,359,,,
0,,359,,1.0816391706466675,
,0.0001,369,,,
0,,369,,1.0763260126113892,
,0.0001,379,,,
0,,379,,1.0659422874450684,
,0.0001,389,,,
0,,389,,1.0716596841812134,
,0.0001,399,,,
0,,399,,1.0628795623779297,
,0.0001,409,,,
0,,409,,1.0686559677124023,
,0.0001,419,,,
0,,419,,1.069706916809082,
,0.0001,429,,,
0,,429,,1.080562710762024,
,0.0001,439,,,
0,,439,,1.0615527629852295,
,0.0001,449,,,
0,,449,,1.057366967201233,
,0.0001,459,,,
0,,459,,1.0669639110565186,
,0.0001,469,,,
0,,469,,1.0633258819580078,
,0.0001,479,,,
0,,479,,1.0711472034454346,
,0.0001,489,,,
0,,489,,1.0560671091079712,
,0.0001,499,,,
0,,499,,1.071938157081604,
,0.0001,509,,,
0,,509,,1.0608971118927002,
,0.0001,519,,,
0,,519,,1.0583395957946777,
,0.0001,529,,,
0,,529,,1.0547469854354858,
,0.0001,539,,,
0,,539,,1.0594528913497925,
,0.0001,549,,,
0,,549,,1.0581589937210083,
,0.0001,559,,,
0,,559,,1.0606892108917236,
,0.0001,569,,,
0,,569,,1.0631821155548096,
,0.0001,579,,,
0,,579,,1.056484341621399,
,0.0001,589,,,
0,,589,,1.0581717491149902,
,0.0001,599,,,
0,,599,,1.0686020851135254,
,0.0001,609,,,
0,,609,,1.0645886659622192,
,0.0001,619,,,
0,,619,,1.0554299354553223,
,0.0001,629,,,
0,,629,,1.0691657066345215,
,0.0001,639,,,
0,,639,,1.0560054779052734,
,0.0001,649,,,
0,,649,,1.0542188882827759,
,0.0001,659,,,
0,,659,,1.061699628829956,
,0.0001,669,,,
0,,669,,1.061474323272705,
,0.0001,679,,,
0,,679,,1.0675188302993774,
,0.0001,689,,,
0,,689,,1.060894250869751,
,0.0001,699,,,
0,,699,,1.0690999031066895,
,0.0001,709,,,
0,,709,,1.0622138977050781,
,0.0001,719,,,
0,,719,,1.0636152029037476,
,0.0001,729,,,
0,,729,,1.0641809701919556,
,0.0001,739,,,
0,,739,,1.0496183633804321,
,0.0001,749,,,
0,,749,,1.0637949705123901,
,0.0001,759,,,
0,,759,,1.0760819911956787,
,0.0001,769,,,
0,,769,,1.080620527267456,
,0.0001,779,,,
0,,779,,1.059146761894226,
,0.0001,789,,,
0,,789,,1.0635583400726318,
,0.0001,799,,,
0,,799,,1.0647077560424805,
,0.0001,809,,,
0,,809,,1.0607402324676514,
,0.0001,819,,,
0,,819,,1.0611932277679443,
,0.0001,829,,,
0,,829,,1.0635557174682617,
,0.0001,839,,,
0,,839,,1.0587058067321777,
,0.0001,849,,,
0,,849,,1.0660679340362549,
,0.0001,859,,,
0,,859,,1.0567667484283447,
,0.0001,869,,,
0,,869,,1.0577794313430786,
,0.0001,879,,,
0,,879,,1.0506658554077148,
,0.0001,889,,,
0,,889,,1.0543327331542969,
,0.0001,899,,,
0,,899,,1.054284930229187,
,0.0001,909,,,
0,,909,,1.0557861328125,
,0.0001,919,,,
0,,919,,1.051690936088562,
,0.0001,929,,,
0,,929,,1.0733497142791748,
,0.0001,939,,,
0,,939,,1.0628007650375366,
,0.0001,949,,,
0,,949,,1.0591175556182861,
,0.0001,959,,,
0,,959,,1.0591034889221191,
,0.0001,969,,,
0,,969,,1.0648196935653687,
,0.0001,979,,,
0,,979,,1.058323860168457,
,0.0001,989,,,
0,,989,,1.0797626972198486,
,0.0001,999,,,
0,,999,,1.0563963651657104,
,0.0001,1009,,,
0,,1009,,1.063454270362854,
,0.0001,1019,,,
0,,1019,,1.0593783855438232,
,0.0001,1029,,,
0,,1029,,1.0482826232910156,
,0.0001,1039,,,
0,,1039,,1.063238263130188,
,0.0001,1049,,,
0,,1049,,1.0530632734298706,
,0.0001,1059,,,
0,,1059,,1.0488544702529907,
,0.0001,1069,,,
0,,1069,,1.062476634979248,
,0.0001,1079,,,
0,,1079,,1.0575098991394043,
,0.0001,1089,,,
0,,1089,,1.0603386163711548,
,0.0001,1099,,,
0,,1099,,1.0607686042785645,
,0.0001,1109,,,
0,,1109,,1.0505890846252441,
,0.0001,1119,,,
0,,1119,,1.041456937789917,
,0.0001,1129,,,
0,,1129,,1.0556514263153076,
,0.0001,1139,,,
0,,1139,,1.0602091550827026,
,0.0001,1149,,,
0,,1149,,1.06514310836792,
,0.0001,1159,,,
0,,1159,,1.0498486757278442,
,0.0001,1169,,,
0,,1169,,1.0667822360992432,
,0.0001,1179,,,
0,,1179,,1.058314561843872,
,0.0001,1189,,,
0,,1189,,1.0687289237976074,
,0.0001,1199,,,
0,,1199,,1.052026391029358,
,0.0001,1209,,,
0,,1209,,1.052219033241272,
,0.0001,1219,,,
0,,1219,,1.0641895532608032,
,0.0001,1229,,,
0,,1229,,1.0614959001541138,
,0.0001,1239,,,
0,,1239,,1.0478501319885254,
,0.0001,1249,,,
0,,1249,,1.049397587776184,
,0.0001,1259,,,
0,,1259,,1.0613890886306763,
,0.0001,1269,,,
0,,1269,,1.0549719333648682,
,0.0001,1279,,,
0,,1279,,1.0489908456802368,
,0.0001,1289,,,
0,,1289,,1.0699570178985596,
,0.0001,1299,,,
0,,1299,,1.0571643114089966,
,0.0001,1309,,,
0,,1309,,1.054066777229309,
,0.0001,1319,,,
0,,1319,,1.0474116802215576,
,0.0001,1329,,,
0,,1329,,1.0539109706878662,
,0.0001,1339,,,
0,,1339,,1.068564534187317,
,0.0001,1349,,,
0,,1349,,1.0581676959991455,
,0.0001,1359,,,
0,,1359,,1.0592272281646729,
,0.0001,1369,,,
0,,1369,,1.0516974925994873,
,0.0001,1379,,,
0,,1379,,1.0546541213989258,
