,entrez_id,full_validation_dataset,training_set_ratio,validation_set_ratio,test_set_ratio,tissue,cell_count,organism,file_path
1145,27620874,1,0.0,0.0,1.0,lymph node,10331.0,Homo sapiens,/gpfs/hybrid/data/downloads/gcloud/arc-scbasecount/2025-02-25/h5ad/GeneFull_Ex50pAS/Homo_sapiens/SRX20200891.h5ad
1146,32299443,1,0.0,0.0,1.0,lymph node,6107.0,Homo sapiens,/gpfs/hybrid/data/downloads/gcloud/arc-scbasecount/2025-02-25/h5ad/GeneFull_Ex50pAS/Homo_sapiens/SRX23993391.h5ad
1147,27620873,1,0.0,0.0,1.0,lymph node,3860.0,Homo sapiens,/gpfs/hybrid/data/downloads/gcloud/arc-scbasecount/2025-02-25/h5ad/GeneFull_Ex50pAS/Homo_sapiens/SRX20200890.h5ad
1148,19458067,1,0.0,0.0,1.0,lymph node,6287.0,Homo sapiens,/gpfs/hybrid/data/downloads/gcloud/arc-scbasecount/2025-02-25/h5ad/GeneFull_Ex50pAS/Homo_sapiens/SRX13940548.h5ad
1149,19458076,1,0.0,0.0,1.0,lymph node,6931.0,Homo sapiens,/gpfs/hybrid/data/downloads/gcloud/arc-scbasecount/2025-02-25/h5ad/GeneFull_Ex50pAS/Homo_sapiens/SRX13940557.h5ad
1150,27620879,1,0.0,0.0,1.0,lymph node,1420.0,Homo sapiens,/gpfs/hybrid/data/downloads/gcloud/arc-scbasecount/2025-02-25/h5ad/GeneFull_Ex50pAS/Homo_sapiens/SRX20200896.h5ad
1151,21270479,1,0.0,0.0,1.0,lymph node,4401.0,Homo sapiens,/gpfs/hybrid/data/downloads/gcloud/arc-scbasecount/2025-02-25/h5ad/GeneFull_Ex50pAS/Homo_sapiens/ERX8792003.h5ad
1152,21270571,1,0.0,0.0,1.0,lymph node,2516.0,Homo sapiens,/gpfs/hybrid/data/downloads/gcloud/arc-scbasecount/2025-02-25/h5ad/GeneFull_Ex50pAS/Homo_sapiens/ERX8792095.h5ad
1153,21432145,1,0.0,0.0,1.0,colon,7975.0,Homo sapiens,/gpfs/hybrid/data/downloads/gcloud/arc-scbasecount/2025-02-25/h5ad/GeneFull_Ex50pAS/Homo_sapiens/SRX14977833.h5ad
1154,21432171,1,0.0,0.0,1.0,colon,3819.0,Homo sapiens,/gpfs/hybrid/data/downloads/gcloud/arc-scbasecount/2025-02-25/h5ad/GeneFull_Ex50pAS/Homo_sapiens/SRX14977859.h5ad
1155,27393402,1,0.0,0.0,1.0,colon,6040.0,Homo sapiens,/gpfs/hybrid/data/downloads/gcloud/arc-scbasecount/2025-02-25/h5ad/GeneFull_Ex50pAS/Homo_sapiens/SRX20000217.h5ad
1156,32775670,1,0.0,0.0,1.0,colon,15276.0,Homo sapiens,/gpfs/hybrid/data/downloads/gcloud/arc-scbasecount/2025-02-25/h5ad/GeneFull_Ex50pAS/Homo_sapiens/SRX24459577.h5ad
1157,32775716,1,0.0,0.0,1.0,colon,4099.0,Homo sapiens,/gpfs/hybrid/data/downloads/gcloud/arc-scbasecount/2025-02-25/h5ad/GeneFull_Ex50pAS/Homo_sapiens/SRX24459623.h5ad
1158,28482610,1,0.0,0.0,1.0,colon,13404.0,Homo sapiens,/gpfs/hybrid/data/downloads/gcloud/arc-scbasecount/2025-02-25/h5ad/GeneFull_Ex50pAS/Homo_sapiens/SRX21048009.h5ad
1159,32775639,1,0.0,0.0,1.0,colon,6669.0,Homo sapiens,/gpfs/hybrid/data/downloads/gcloud/arc-scbasecount/2025-02-25/h5ad/GeneFull_Ex50pAS/Homo_sapiens/SRX24459546.h5ad
1160,26531966,1,0.0,0.0,1.0,colon,4345.0,Homo sapiens,/gpfs/hybrid/data/downloads/gcloud/arc-scbasecount/2025-02-25/h5ad/GeneFull_Ex50pAS/Homo_sapiens/SRX19295178.h5ad
